,name,album,artist,gender,origin_country,continent,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,length,popularity
30,Out Loud,Out Loud,Michel Dj,male,Italy,Europe,0.681,0.429,3.0,-9.877,0.0,0.0291,0.383,0.0,0.163,0.345,96.018,165000.0,4.0,2020-02-24,165000.0,33.0
31,Se Te Nota (with Guaynaa),Se Te Nota (with Guaynaa),Lele Pons,female,Venezuela,South_America,0.905,0.686,0.0,-3.152,1.0,0.0664,0.0907,0.0,0.266,0.963,103.013,155825.0,4.0,2020-09-02,155825.0,92.0
32,La Tóxica,La Tóxica,Farruko,male,Puerto Rico,North_America,0.659,0.701,9.0,-4.107,1.0,0.164,0.0882,0.0,0.0866,0.623,91.97,180520.0,4.0,2020-07-24,180520.0,93.0
33,Don't start now,Future Nostalgia,Dua Lipa,female,UK,Europe,,,,,,,,,,,,,,,,
34,Insomnia,Insomnia,Michel Dj,male,Italy,Europe,0.625,0.892,7.0,-3.545,1.0,0.083,0.0228,0.000152,0.399,0.548,120.023,166000.0,4.0,2020-11-19,166000.0,46.0
35,Wonder,Wonder,Shawn Mendes,male,Canada,North_America,0.333,0.637,1.0,-4.904,0.0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693.0,4.0,2020-10-02,172692.0,91.0
36,Take You Dancing,Take You Dancing,Jason Derulo,male,USA,North_America,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985,190306.0,4.0,2020-07-22,190306.0,92.0
37,Control,Control,Michel Dj,male,Italy,Europe,0.669,0.932,9.0,-3.603,1.0,0.0472,0.00275,0.00147,0.165,0.515,119.924,214000.0,4.0,2020-10-21,214000.0,43.0
38,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,male,Colombia,,0.571,0.693,6.0,-8.234,0.0,0.0545,0.00536,0.0,0.173,0.393,168.169,232253.0,4.0,2020-07-24,232253.0,92.0
39,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,male,New Zealand,Oceania,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,4.0,2020-06-11,171374.0,91.0
40,Ilomilo,Ilomilo,Michel Dj,male,Italy,Europe,0.709,0.878,1.0,-4.213,1.0,0.0633,0.0439,0.00994,0.179,0.54,119.961,187000.0,4.0,2020-08-10,187000.0,49.0
41,Drankin N Smokin,Pluto x Baby Pluto,Future,male,USA,North_America,0.752,0.658,0.0,-6.297,1.0,0.342,0.0421,0.0,0.0927,0.387,151.951,213520.0,4.0,2020-11-13,213520.0,85.0
42,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,male,USA,North_America,0.785,0.721,8.0,-5.457,1.0,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219.0,4.0,2019-09-13,176218.0,73.0
43,Midnight Sky,Midnight Sky,Miley Cyrus,female,USA,North_America,0.705,0.814,4.0,-5.466,0.0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279.0,4.0,2020-08-14,223279.0,88.0
44,Breaking Me,Breaking Me,Topic,male,Germany,Europe,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031,166794.0,4.0,2019-12-19,166793.0,92.0
45,Deep Sunset,Deep Sunset,Michael FAY,male,,,0.792,0.912,7.0,-5.873,0.0,0.0811,0.00527,0.0135,0.0557,0.557,124.021,284516.0,4.0,2019-05-01,284516.0,44.0
46,Golden,Fine Line,Harry Styles,male,UK,Europe,0.448,0.838,4.0,-5.257,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907.0,4.0,2019-12-13,208906.0,91.0
47,Everything I Wanted,Everything I Wanted,Michel Dj,male,Italy,Europe,0.702,0.74,6.0,-6.576,0.0,0.0364,0.15,0.0377,0.106,0.436,119.986,250000.0,4.0,2020-05-03,250000.0,47.0
48,The Beach,The Beach,Gold,male,Italy,Europe,0.625,0.49,9.0,-12.447,1.0,0.0432,0.561,0.884,0.146,0.391,180.015,101333.0,4.0,2020-10-27,101333.0,28.0
49,Heather,Kid krow,Connan Gray,male,USA,North_America,,,,,,,,,,,,,,,,
